country,dystopia_residual,economy,family,freedom,generosity,rank,score,health,lower_confidence,lower_whisker,region,standard_error,trust,upper_confidence,upper_whisker,year
Switzerland,2.51738,1.39651,1.34951,0.66557,0.29678,1,7.587,0.94143,NULL,NULL,Western Europe,0.03411,0.41978,NULL,NULL,2015
Iceland,2.70201,1.30232,1.40223,0.62877,0.4363,2,7.561,0.94784,NULL,NULL,Western Europe,0.04884,0.14145,NULL,NULL,2015
Denmark,2.49204,1.32548,1.36058,0.64938,0.34139,3,7.527,0.87464,NULL,NULL,Western Europe,0.03328,0.48357,NULL,NULL,2015
Norway,2.46531,1.459,1.33095,0.66973,0.34699,4,7.522,0.88521,NULL,NULL,Western Europe,0.0388,0.36503,NULL,NULL,2015
Canada,2.45176,1.32629,1.32261,0.63297,0.45811,5,7.427,0.90563,NULL,NULL,North America,0.03553,0.32957,NULL,NULL,2015
Finland,2.61955,1.29025,1.31826,0.64169,0.23351,6,7.406,0.88911,NULL,NULL,Western Europe,0.0314,0.41372,NULL,NULL,2015
Netherlands,2.4657,1.32944,1.28017,0.61576,0.4761,7,7.378,0.89284,NULL,NULL,Western Europe,0.02799,0.31814,NULL,NULL,2015
Sweden,2.37119,1.33171,1.28907,0.6598,0.36262,8,7.364,0.91087,NULL,NULL,Western Europe,0.03157,0.43844,NULL,NULL,2015
New Zealand,2.26425,1.25018,1.31967,0.63938,0.47501,9,7.286,0.90837,NULL,NULL,Australia and New Zealand,0.03371,0.42922,NULL,NULL,2015
Australia,2.26646,1.33358,1.30923,0.65124,0.43562,10,7.284,0.93156,NULL,NULL,Australia and New Zealand,0.04083,0.35637,NULL,NULL,2015
Israel,3.08854,1.22857,1.22393,0.41319,0.33172,11,7.278,0.91387,NULL,NULL,Middle East and Northern Africa,0.0347,0.07785,NULL,NULL,2015
Costa Rica,3.17728,0.95578,1.23788,0.63376,0.25497,12,7.226,0.86027,NULL,NULL,Latin America and Caribbean,0.04454,0.10583,NULL,NULL,2015
Austria,2.5332,1.33723,1.29704,0.62433,0.33088,13,7.2,0.89042,NULL,NULL,Western Europe,0.03751,0.18676,NULL,NULL,2015
Mexico,3.60214,1.02054,0.91451,0.48181,0.14074,14,7.187,0.81444,NULL,NULL,Latin America and Caribbean,0.04176,0.21312,NULL,NULL,2015
United States,2.51011,1.39451,1.24711,0.54604,0.40105,15,7.119,0.86179,NULL,NULL,North America,0.03839,0.1589,NULL,NULL,2015
Brazil,3.26001,0.98124,1.23287,0.49049,0.14574,16,6.983,0.69702,NULL,NULL,Latin America and Caribbean,0.04076,0.17521,NULL,NULL,2015
Luxembourg,1.96961,1.56391,1.21963,0.61583,0.28034,17,6.946,0.91894,NULL,NULL,Western Europe,0.03499,0.37798,NULL,NULL,2015
Ireland,1.9757,1.33596,1.36948,0.61777,0.45901,18,6.94,0.89533,NULL,NULL,Western Europe,0.03676,0.28703,NULL,NULL,2015
Belgium,2.41484,1.30782,1.28566,0.5845,0.2225,19,6.937,0.89667,NULL,NULL,Western Europe,0.03595,0.2254,NULL,NULL,2015
United Arab Emirates,2.24743,1.42727,1.12575,0.64157,0.26428,20,6.901,0.80925,NULL,NULL,Middle East and Northern Africa,0.03729,0.38583,NULL,NULL,2015
United Kingdom,1.96994,1.26637,1.28548,0.59625,0.51912,21,6.867,0.90943,NULL,NULL,Western Europe,0.01866,0.32067,NULL,NULL,2015
Oman,2.47489,1.36011,1.08182,0.63274,0.21542,22,6.853,0.76276,NULL,NULL,Middle East and Northern Africa,0.05335,0.32524,NULL,NULL,2015
Venezuela,3.19131,1.04424,1.25596,0.42908,0.05841,23,6.81,0.72052,NULL,NULL,Latin America and Caribbean,0.06476,0.11069,NULL,NULL,2015
Singapore,1.88501,1.52186,1.02,0.54252,0.31105,24,6.798,1.02525,NULL,NULL,Southeastern Asia,0.0378,0.4921,NULL,NULL,2015
Panama,2.84848,1.06353,1.1985,0.5421,0.24434,25,6.786,0.79661,NULL,NULL,Latin America and Caribbean,0.0491,0.0927,NULL,NULL,2015
Germany,2.11569,1.32792,1.29937,0.61477,0.28214,26,6.75,0.89186,NULL,NULL,Western Europe,0.01848,0.21843,NULL,NULL,2015
Chile,2.67585,1.10715,1.12447,0.44132,0.33363,27,6.67,0.85857,NULL,NULL,Latin America and Caribbean,0.058,0.12869,NULL,NULL,2015
Qatar,1.55674,1.69042,1.0786,0.6404,0.32573,28,6.611,0.79733,NULL,NULL,Middle East and Northern Africa,0.06257,0.52208,NULL,NULL,2015
France,2.21126,1.27778,1.26038,0.55011,0.12332,29,6.575,0.94579,NULL,NULL,Western Europe,0.03512,0.20646,NULL,NULL,2015
Argentina,2.836,1.05351,1.24823,0.44974,0.11451,30,6.574,0.78723,NULL,NULL,Latin America and Caribbean,0.04612,0.08484,NULL,NULL,2015
Czech Republic,2.67782,1.17898,1.20643,0.46364,0.10686,31,6.505,0.84483,NULL,NULL,Central and Eastern Europe,0.04168,0.02652,NULL,NULL,2015
Uruguay,2.32142,1.06166,1.2089,0.60362,0.2324,32,6.485,0.8116,NULL,NULL,Latin America and Caribbean,0.04539,0.24558,NULL,NULL,2015
Colombia,2.85737,0.91861,1.24018,0.53466,0.18401,33,6.477,0.69077,NULL,NULL,Latin America and Caribbean,0.05051,0.0512,NULL,NULL,2015
Thailand,2.31945,0.9669,1.26504,0.55664,0.5763,34,6.455,0.7385,NULL,NULL,Southeastern Asia,0.03557,0.03187,NULL,NULL,2015
Saudi Arabia,2.43872,1.39541,1.08393,0.31048,0.13706,35,6.411,0.72025,NULL,NULL,Middle East and Northern Africa,0.04633,0.32524,NULL,NULL,2015
Spain,2.12367,1.23011,1.31379,0.45951,0.18227,36,6.329,0.95562,NULL,NULL,Western Europe,0.03468,0.06398,NULL,NULL,2015
Malta,1.6488,1.2074,1.30203,0.60365,0.51752,37,6.302,0.88721,NULL,NULL,Western Europe,0.04206,0.13586,NULL,NULL,2015
Taiwan,2.32323,1.29098,1.07617,0.3974,0.25376,38,6.298,0.8753,NULL,NULL,Eastern Asia,0.03868,0.08129,NULL,NULL,2015
Kuwait,1.87634,1.55422,1.16594,0.55499,0.16228,39,6.295,0.72492,NULL,NULL,Middle East and Northern Africa,0.04456,0.25609,NULL,NULL,2015
Suriname,2.79094,0.99534,0.972,0.59657,0.16991,40,6.269,0.6082,NULL,NULL,Latin America and Caribbean,0.09811,0.13633,NULL,NULL,2015
Trinidad & Tobago,2.26882,1.21183,1.18354,0.55884,0.31844,41,6.168,0.61483,NULL,NULL,Latin America and Caribbean,0.10895,0.0114,NULL,NULL,2015
